"iso3","year","tax_to_gdp","real_gdp_growth","real_gdp_capita","trade_open","industry_value_gdp","natural_rent_gdp","nomina_gdp","total_aid_gdp","loan_gdp","grant_gdp","aid_dist","aid_col","cross"
"FSM",2019,NA,1.20028899,2921.881814,84.89971833,4.864130475,NA,408060600,-275.005722189302,2.35504236380577,20.3254124509938,6.76336033252548,36313.671877,51439.063376
"FSM",1996,NA,-3.182371519,2795.529107,102.0769242,7.576325407,0.017143749,218534700,19.2097639413786,NA,0.713845444224647,6.76336033252548,36313.671877,51439.063376
"FSM",2000,NA,4.833903786,2894.64294,90.58883243,8.182514989,0.007464106,233271800,22.8488827196429,-0.0214342239396275,22.3516087242436,6.76336033252548,36313.671877,51439.063376
"FSM",2001,NA,2.167602441,2963.872185,95.73205727,8.253693703,0.00857109,240970900,56.0856103371818,-0.15769538977528,20.886339387868,6.76336033252548,36313.671877,51439.063376
"FSM",2013,NA,-3.679767791,2923.359712,113.2613463,7.306225695,0.026521777,317214400,32.0414205660273,5.98018248856294,39.1690919453846,6.76336033252548,36313.671877,51439.063376
"FSM",1995,NA,7.014464845,2908.253799,91.49147039,6.857623571,0.015905843,221575300,0.230170059568914,NA,0.428748150177389,6.76336033252548,36313.671877,51439.063376
"FSM",2017,NA,2.682185944,2941.873325,101.0242542,5.429425298,0.038531974,366666800,24.7799909890942,0.782726988099277,24.8481727824826,6.76336033252548,36313.671877,51439.063376
"FSM",2013,NA,-3.679767791,2923.359712,113.2613463,7.306225695,0.026521777,317214400,74.2746861428737,-0.204908730498994,39.1690919453846,6.76336033252548,36313.671877,51439.063376
"FSM",2003,NA,1.572115067,3034.523286,94.79352605,6.637007508,0.014273412,245432900,45.7436635430702,NA,22.6131052519854,6.76336033252548,36313.671877,51439.063376
"FSM",2013,NA,-3.679767791,2923.359712,113.2613463,7.306225695,0.026521777,317214400,74.2746861428737,5.98018248856294,33.4757816795202,6.76336033252548,36313.671877,51439.063376
"FSM",2018,NA,0.2116536,2917.242219,100.8514618,4.866441438,0.016321881,401932300,-383.65416265376,-0.345829384699861,19.622707605236,6.76336033252548,36313.671877,51439.063376
"FSM",2018,NA,0.2116536,2917.242219,100.8514618,4.866441438,0.016321881,401932300,12.9897497663164,-0.345829384699861,12.3055549404713,6.76336033252548,36313.671877,51439.063376
"FSM",2019,NA,1.20028899,2921.881814,84.89971833,4.864130475,NA,408060600,-275.005722189302,-0.323481365267806,28.1526812439133,6.76336033252548,36313.671877,51439.063376
"FSM",2019,NA,1.20028899,2921.881814,84.89971833,4.864130475,NA,408060600,24.5576269799143,2.35504236380577,28.1526812439133,6.76336033252548,36313.671877,51439.063376
