"iso3","year","grant"
"BTN",1999,60.54
"BTN",2015,81.63
"BTN",2014,79.63
"BTN",2001,47.39
"BTN",2007,88.22
"BTN",2002,51.89
"BTN",2013,108.94
"BTN",2011,83.91
"BTN",2017,74.59
"BTN",2005,70.66
"BTN",2018,74.78
"BTN",2019,116.76
"BTN",2003,64.75
"BTN",2004,64.48
"BTN",2012,104.94
"BOL",2002,829.19
"BOL",1999,406.79
"BOL",2003,737.84
"BOL",2007,520.93
"BOL",2006,2380.82
"BOL",2015,292.24
"BOL",2004,1042.74
"BOL",1998,420.69
"BOL",1995,538.46
"BOL",2009,580.99
"BOL",2001,597.78
"BOL",2005,531.48
"BOL",2014,348.71
"BOL",1997,492.75
"BOL",2016,303.06
"BOL",2013,394.2
"BOL",2012,429.18
"BOL",1996,576.55
"BOL",2017,326.63
"BOL",2000,380.99
"BOL",2008,558.77
"BOL",2010,630.42
"BOL",2019,270.11
"BOL",2011,503.79
"BOL",2018,310.87
"BIH",1995,965.8
"BIH",2016,273.07
"BIH",1997,787.24
"BIH",1999,1172.75
"BIH",2005,415.82
"BIH",2004,437.97
"BIH",2017,324
"BIH",2006,451.27
"BIH",1996,736.19
"BIH",2003,469.83
"BIH",2015,353.11
"BIH",1998,751.23
"BIH",2008,393.59
"BIH",2002,448.35
"BIH",2000,674.43
"BIH",2018,298.11
"BIH",2007,519.27
"BIH",2009,345.23
"BIH",2014,436.91
"BIH",2012,333.24
"BIH",2001,554.95
"BIH",2013,360.08
"BIH",2011,331.96
"BIH",2019,362.81
"BIH",2010,373.26
"BWA",1999,60.08
"BWA",2009,271.49
"BWA",1998,76.83
"BWA",2008,748.16
"BWA",1995,79.49
"BWA",1997,82.18
"BWA",2006,85.24
"BWA",2007,116.92
"BWA",2010,157.78
"BWA",2000,36.25
"BWA",1996,67.05
"BWA",2019,78.68
"BWA",2018,85.77
"BWA",2012,94.55
"BWA",2011,126
"BWA",2005,66.12
"BWA",2004,63.59
"BWA",2017,104.73
"BWA",2013,121.9
"BWA",2001,34.15
"BWA",2016,96.94
"BWA",2015,80.26
"BWA",2003,42.33
"BWA",2002,51.95
"BWA",2014,116.29
"BRA",2018,436.11
"BRA",1998,280.57
"BRA",1999,260.24
"BRA",2016,518.2
"BRA",2017,414.56
"BRA",1997,276.21
"BRA",2007,412.45
"BRA",2014,491.18
"BRA",2015,468.98
"BRA",1996,310.13
"BRA",1995,309.57
"BRA",2000,242.44
"BRA",2010,421.79
"BRA",2009,433.47
"BRA",2008,438.48
"BRA",2006,305.25
"BRA",2019,380.07
"BRA",2012,492.1
"BRA",2005,301.71
"BRA",2013,1097.43
"BRA",2011,429.83
"BRA",2004,290.73
"BRA",2001,250.73
"BRA",2002,256.28
"BRA",2003,308.6
"VGB",1995,0.45
"VGB",1998,1.53
"VGB",1997,1.62
"VGB",1996,1.21
"VGB",1999,1.28
"BRN",1995,4.29
"BFA",2001,306.51
"BFA",2007,756.01
"BFA",2003,473.49
"BFA",2016,731.39
"BFA",2014,1043.07
"BFA",2004,522.67
"BFA",2005,536.3
"BFA",2009,851.57
"BFA",2006,2000.23
"BFA",2002,338.13
"BFA",2015,752.09
"BFA",2011,864.88
"BFA",2010,884.64
"BFA",2008,748.27
"BFA",1995,364.04
"BFA",1997,305.47
"BFA",2019,919.15
"BFA",2000,293.4
"BFA",1996,351.5
"BFA",1999,305.9
"BFA",1998,307.26
"BFA",2017,764.52
"BFA",2018,831.54
"BFA",2012,986.51
"BFA",2013,1012.88
"BDI",2019,499.79
"BDI",2002,152.32
"BDI",2018,407.6
"BDI",2017,431.95
"BDI",2015,359.32
"BDI",2001,145.25
"BDI",2016,770.96
"BDI",2013,556.09
"BDI",2014,501.65
"BDI",2003,203.32
"BDI",2004,285.63
"BDI",2012,503.04
"BDI",1999,81.32
"BDI",2000,74.6
"BDI",2011,541.22
"BDI",1996,101.81
"BDI",2005,331.95
"BDI",2010,594.99
"BDI",2007,481.54
"BDI",1998,64.33
"BDI",2009,893.19
"BDI",2006,402.72
"BDI",1997,64.48
"BDI",2008,497.49
"BDI",1995,272.6
"CPV",2000,73.78
"CPV",2008,168.15
"CPV",1996,96.81
"CPV",2017,95.4
"CPV",1999,77.02
"CPV",2007,126.86
"CPV",2002,63.4
"CPV",1997,96.86
"CPV",1995,100.19
"CPV",2016,72.4
"CPV",1998,97.5
"CPV",2018,69.61
"CPV",2019,85.98
"CPV",2001,42.48
"CPV",2015,79.6
"CPV",2009,169.12
"CPV",2010,174.55
"CPV",2003,115.81
"CPV",2006,102.36
"CPV",2014,87.37
"CPV",2004,114.22
"CPV",2005,118.02
"CPV",2013,86.59
"CPV",2012,82.42
"CPV",2011,111.9
"KHM",2002,315.99
"KHM",1999,216.16
"KHM",2003,358.47
"KHM",2006,511.2
"KHM",2010,619.21
"KHM",2000,301.11
