"countries","dac","dist","colony"
"ARM","CAN",9139.136,0
"ARM","DEU",3126.056,0
"ARM","ESP",4040.452,0
"ARM","FRA",3434.071,0
"ARM","GBR",3619.365,0
"ARM","ITA",2677.67,0
"ARM","JPN",7943.638,0
"ARM","NLD",3282.178,0
"ARM","USA",9088.867,0
"ATG","AUS",16255.91,0
"ATG","CAN",3382.002,0
"ATG","DEU",7071.959,0
"ATG","ESP",6108.097,0
"ATG","FRA",6708.77,0
"ATG","GBR",6582.637,1
"ATG","ITA",7470.406,0
"ATG","JPN",13731.89,0
"ATG","NLD",6941.241,0
"ATG","USA",2876.399,0
"AUS","AUS",1042.817,0
"AUS","CAN",15586.66,0
"AUS","DEU",16562.72,0
"AUS","ESP",17699.45,0
"AUS","FRA",16975.46,0
"AUS","GBR",17011.27,1
"AUS","ITA",16333.25,0
"AUS","JPN",7831.446,0
"AUS","NLD",16658.11,0
"AUS","USA",16008.79,0
"AUT","AUS",15988.95,0
"AUT","CAN",6922.538,0
"AUT","DEU",763.7314,0
"AUT","ESP",1811.999,0
"AUT","FRA",1035.144,0
"AUT","GBR",1238.199,0
"AUT","ITA",767.4132,0
"AUT","JPN",9141.063,0
"AUT","NLD",934.7828,0
"AUT","USA",6798.701,0
"AZE","AUS",13244.84,0
"AZE","CAN",9390.014,0
"AZE","DEU",3485.098,0
"AZE","ESP",4470.745,0
"AZE","FRA",3817.547,0
"AZE","GBR",3980.449,0
"AZE","ITA",3113.878,0
"AZE","JPN",7537.544,0
"AZE","NLD",3633.827,0
"AZE","USA",9371.842,0
"BDI","AUS",12673.1,0
"BDI","CAN",11774.13,0
"BDI","DEU",6459.994,1
"BDI","ESP",5920.473,0
"BDI","FRA",6371.986,0
"BDI","GBR",6714.679,0
"BDI","ITA",5315.705,0
"BDI","JPN",12076.49,0
"BDI","NLD",6613.338,0
"BDI","USA",11382.61,0
"BEL","AUS",16759.6,0
"BEL","CAN",6031.534,0
"BEL","DEU",196.8761,0
"BEL","ESP",1316.64,0
"BEL","FRA",262.3845,0
"BEL","GBR",323.7796,0
"BEL","ITA",1174.904,0
"BEL","JPN",9463.263,0
"BEL","NLD",173.0333,0
"BEL","USA",5891.711,0
"BEN","AUS",15588.36,0
"BEN","CAN",8873.83,0
"BEN","DEU",5032.831,0
"BEN","ESP",3836.723,0
"BEN","FRA",4726.537,1
"BEN","GBR",5025.699,0
"BEN","ITA",4070.718,0
"BEN","JPN",13561.87,0
"BEN","NLD",5118.854,0
"BEN","USA",8416.831,0
"BFA","AUS",16383.96,0
"BFA","CAN",8088.204,0
"BFA","DEU",4425.02,0
"BFA","ESP",3132.095,0
"BFA","FRA",4082.87,1
"BFA","GBR",4361.322,0
"BFA","ITA",3564.484,0
"BFA","JPN",13325.56,0
"BFA","NLD",4492.509,0
"BFA","USA",7640.939,0
"BGD","AUS",9077.625,0
"BGD","CAN",12464.92,0
